Probe Set ID	Gene Symbol	Gene Title
1074_at	RAB1A	RAB1A, member RAS oncogene family
1075_f_at	IFNA16	interferon, alpha 16
1076_at	IL1A	interleukin 1, alpha
1077_at	RAG1	recombination activating gene 1
1078_at	PRLR	prolactin receptor
1079_g_at	PRLR	prolactin receptor
107_at	LOC286526	Ras-like GTPase-like
1080_s_at	CYP1A2	cytochrome P450, family 1, subfamily A, polypeptide 2
1081_at	ODC1	ornithine decarboxylase 1
1082_at	PLCG1	phospholipase C, gamma 1
1083_s_at	MUC1	mucin 1, cell surface associated
1084_at	ABL2	v-abl Abelson murine leukemia viral oncogene homolog 2 (arg, Abelson-related gene)
1085_s_at	PLCG2	phospholipase C, gamma 2 (phosphatidylinositol-specific)
1086_at	CSF2RB	colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)
1087_at	EPOR	erythropoietin receptor
1088_at	BDNF	brain-derived neurotrophic factor
1089_i_at	---	---
108_g_at	RAB40B /// RAB40A /// LOC286526	RAB40B, member RAS oncogene family /// RAB40A, member RAS oncogene family /// Ras-like GTPase-like
1090_f_at	---	---
1091_at	PRKAR1B	protein kinase, cAMP-dependent, regulatory, type I, beta
1092_at	EDN2	endothelin 2
1093_at	PPP2R1B	protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), beta isoform
1094_g_at	PPP2R1B	protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), beta isoform
1095_s_at	HGF	hepatocyte growth factor (hepapoietin A; scatter factor)
1096_g_at	CD19	CD19 molecule
1097_s_at	CCR7	chemokine (C-C motif) receptor 7
1098_at	THPO	thrombopoietin (myeloproliferative leukemia virus oncogene ligand, megakaryocyte growth and development factor)
1099_s_at	GSTT2 /// LOC653689	glutathione S-transferase theta 2 /// similar to Glutathione S-transferase theta 2 (GST class-theta 2)
109_at	RABEPK	Rab9 effector protein with kelch motifs
1100_at	IRAK1	interleukin-1 receptor-associated kinase 1
1101_at	APBB1	amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)
1102_s_at	NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)
1103_at	ANG /// RNASE4	angiogenin, ribonuclease, RNase A family, 5 /// ribonuclease, RNase A family, 4
1104_s_at	HSPA1A /// HSPA1B	heat shock 70kDa protein 1A /// heat shock 70kDa protein 1B
1105_s_at	TRBV21-1 /// TRBV5-4 /// TRBV3-1 /// LOC647353	T cell receptor beta variable 21-1 /// T cell receptor beta variable 5-4 /// T cell receptor beta variable 3-1 /// similar to T-cell receptor beta chain V region CTL-L17 precursor
1106_s_at	TRA@ /// TRDV2 /// TRAV20 /// TRAC	T cell receptor alpha locus /// T cell receptor delta variable 2 /// T cell receptor alpha variable 20 /// T cell receptor alpha constant
1107_s_at	ISG15	ISG15 ubiquitin-like modifier
1108_s_at	EPHA1	EPH receptor A1
1109_s_at	PDGFA	platelet-derived growth factor alpha polypeptide
110_at	CSPG4	chondroitin sulfate proteoglycan 4 (melanoma-associated)
1110_at	TRA@ /// TRD@	T cell receptor alpha locus /// T cell receptor delta locus
1111_at	NCAM1	neural cell adhesion molecule 1
1112_g_at	NCAM1	neural cell adhesion molecule 1
1113_at	BMP2	bone morphogenetic protein 2
1114_at	BMP4	bone morphogenetic protein 4
1115_at	PF4	platelet factor 4 (chemokine (C-X-C motif) ligand 4)
1116_at	---	---
1117_at	CDA	cytidine deaminase
1118_at	PTGER4	prostaglandin E receptor 4 (subtype EP4)
1119_at	RPA2	replication protein A2, 32kDa
111_at	RABGGTA	Rab geranylgeranyltransferase, alpha subunit
1120_at	GSTM3	glutathione S-transferase M3 (brain)
1121_g_at	GSTM3	glutathione S-transferase M3 (brain)
1122_f_at	CGB /// CGB5 /// CGB7 /// CGB8 /// CGB1 /// CGB2	chorionic gonadotropin, beta polypeptide /// chorionic gonadotropin, beta polypeptide 5 /// chorionic gonadotropin, beta polypeptide 7 /// chorionic gonadotropin, beta polypeptide 8 /// chorionic gonadotropin, beta polypeptide 1 /// chorionic gonadotropin, beta polypeptide 2
1123_at	GHRHR	growth hormone releasing hormone receptor
1124_at	MLL	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)
1125_s_at	CD44	CD44 molecule (Indian blood group)
1126_s_at	CD44	CD44 molecule (Indian blood group)
1127_at	RPS6KA1	ribosomal protein S6 kinase, 90kDa, polypeptide 1
1128_s_at	CCR1	chemokine (C-C motif) receptor 1
1129_at	---	---
112_g_at	TAF1	TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 250kDa
1130_at	MAP2K1	mitogen-activated protein kinase kinase 1
1131_at	MAP2K2	mitogen-activated protein kinase kinase 2
1132_s_at	RARG	retinoic acid receptor, gamma
1133_at	EN2	engrailed homolog 2
1134_at	TNK2	tyrosine kinase, non-receptor, 2
1135_at	GRK5	G protein-coupled receptor kinase 5
1136_at	DTYMK	deoxythymidylate kinase (thymidylate kinase)
1137_at	SLC20A2	solute carrier family 20 (phosphate transporter), member 2
1138_at	SLC20A1	solute carrier family 20 (phosphate transporter), member 1
1139_at	GNA13	guanine nucleotide binding protein (G protein), alpha 13
113_i_at	MAPT	microtubule-associated protein tau
1140_at	ITGAE	integrin, alpha E (antigen CD103, human mucosal lymphocyte antigen 1; alpha polypeptide)
1141_at	MC5R	melanocortin 5 receptor
1142_at	---	---
1143_s_at	---	---
1144_at	---	---
1145_g_at	---	---
1146_at	---	---
1147_at	---	---
1148_s_at	---	---
1149_at	---	---
114_r_at	MAPT	microtubule-associated protein tau
1150_at	---	---
1151_at	---	---
1152_i_at	CGB /// LHB /// CGB5 /// CGB7 /// CGB8 /// CGB1 /// CGB2	chorionic gonadotropin, beta polypeptide /// luteinizing hormone beta polypeptide /// chorionic gonadotropin, beta polypeptide 5 /// chorionic gonadotropin, beta polypeptide 7 /// chorionic gonadotropin, beta polypeptide 8 /// chorionic gonadotropin, beta polypeptide 1 /// chorionic gonadotropin, beta polypeptide 2
1153_f_at	CGB /// CGB5 /// CGB7 /// CGB8 /// CGB1 /// CGB2	chorionic gonadotropin, beta polypeptide /// chorionic gonadotropin, beta polypeptide 5 /// chorionic gonadotropin, beta polypeptide 7 /// chorionic gonadotropin, beta polypeptide 8 /// chorionic gonadotropin, beta polypeptide 1 /// chorionic gonadotropin, beta polypeptide 2
1154_at	EIF2S1	eukaryotic translation initiation factor 2, subunit 1 alpha, 35kDa
1155_at	---	---
1156_at	SP1	Sp1 transcription factor
1157_s_at	IFNAR1	interferon (alpha, beta and omega) receptor 1
1158_s_at	CALM3	calmodulin 3 (phosphorylase kinase, delta)
1159_at	IL7	interleukin 7
115_at	THBS1	thrombospondin 1
1160_at	CYC1	cytochrome c-1
1161_at	HSP90AB1	heat shock protein 90kDa alpha (cytosolic), class B member 1
1162_g_at	---	---
1163_at	---	---
1164_at	---	---
1165_at	IL18	interleukin 18 (interferon-gamma-inducing factor)
1166_at	PSMD2	proteasome (prosome, macropain) 26S subunit, non-ATPase, 2
1167_s_at	MMP15	matrix metallopeptidase 15 (membrane-inserted)
1168_at	PCDHB17	protocadherin beta 17 pseudogene
1169_at	PCDHGB7	protocadherin gamma subfamily B, 7
116_at	PRKAR2A	protein kinase, cAMP-dependent, regulatory, type II, alpha
1170_at	---	---
1171_s_at	---	---
1172_at	---	---
1173_g_at	---	---
1174_at	---	---
1175_s_at	---	---
1176_at	---	---
1177_at	---	---
1178_at	---	---
1179_at	---	---
117_at	HSPA6 /// LOC652878	heat shock 70kDa protein 6 (HSP70B') /// similar to heat shock 70kDa protein 6 (HSP70B)
1180_g_at	---	---
1181_at	---	---
1182_at	PLCL1	phospholipase C-like 1
1183_at	CCL17	chemokine (C-C motif) ligand 17
1184_at	PSME2	proteasome (prosome, macropain) activator subunit 2 (PA28 beta)
1185_at	IL3RA	interleukin 3 receptor, alpha (low affinity)
1186_at	GDF10	growth differentiation factor 10
1187_at	LIG3	ligase III, DNA, ATP-dependent
1188_g_at	LIG3	ligase III, DNA, ATP-dependent
1189_at	CDK8	cyclin-dependent kinase 8
118_at	ITPKA	inositol 1,4,5-trisphosphate 3-kinase A
1190_at	PTPRO	protein tyrosine phosphatase, receptor type, O
1191_s_at	PSMD11	proteasome (prosome, macropain) 26S subunit, non-ATPase, 11
1192_at	PSMD12	proteasome (prosome, macropain) 26S subunit, non-ATPase, 12
1193_at	UBE3A	ubiquitin protein ligase E3A (human papilloma virus E6-associated protein, Angelman syndrome)
1194_g_at	UBE3A	ubiquitin protein ligase E3A (human papilloma virus E6-associated protein, Angelman syndrome)
1195_s_at	ITGB1BP1	integrin beta 1 binding protein 1
1196_at	RCC1	regulator of chromosome condensation 1
1197_at	ACTG2	actin, gamma 2, smooth muscle, enteric
1198_at	EDNRB	endothelin receptor type B
1199_at	EIF4A1	eukaryotic translation initiation factor 4A, isoform 1
1200_at	GLI2	GLI-Kruppel family member GLI2
1201_at	RAB33A	RAB33A, member RAS oncogene family
1202_g_at	RAB33A	RAB33A, member RAS oncogene family
1203_at	INHBA	inhibin, beta A (activin A, activin AB alpha polypeptide)
1204_at	DGKG	diacylglycerol kinase, gamma 90kDa
1205_at	---	---
1206_at	CDK5	cyclin-dependent kinase 5
1207_at	CDK6	cyclin-dependent kinase 6
1208_at	PTK6	PTK6 protein tyrosine kinase 6
1209_at	TRAF6	TNF receptor-associated factor 6
120_at	ITGA1	integrin, alpha 1
1210_s_at	TNFRSF25	tumor necrosis factor receptor superfamily, member 25
1211_s_at	CRADD	CASP2 and RIPK1 domain containing adaptor with death domain
1212_at	GSTZ1	glutathione transferase zeta 1 (maleylacetoacetate isomerase)
1213_at	SRPK2	SFRS protein kinase 2
1214_s_at	IFNB1	interferon, beta 1, fibroblast
1217_g_at	PRKCB1	protein kinase C, beta 1
1218_at	NR2F6	nuclear receptor subfamily 2, group F, member 6
1219_at	IRF2	interferon regulatory factor 2
121_at	PAX8	paired box gene 8
1220_g_at	IRF2	interferon regulatory factor 2
1221_at	RAB5B	RAB5B, member RAS oncogene family
1222_at	PCTK2	PCTAIRE protein kinase 2
1223_at	PCTK3	PCTAIRE protein kinase 3
1224_at	PCTK1	PCTAIRE protein kinase 1
1225_g_at	PCTK1	PCTAIRE protein kinase 1
1226_at	ADAM17	ADAM metallopeptidase domain 17 (tumor necrosis factor, alpha, converting enzyme)
1227_g_at	ADAM17	ADAM metallopeptidase domain 17 (tumor necrosis factor, alpha, converting enzyme)
1228_s_at	CTAGE5	CTAGE family, member 5
1229_at	MTMR11	myotubularin related protein 11
122_at	PRIM2A	primase, polypeptide 2A, 58kDa
1230_g_at	MTMR11	myotubularin related protein 11
1231_at	UBE2B	ubiquitin-conjugating enzyme E2B (RAD6 homolog)
1232_s_at	IGFBP1	insulin-like growth factor binding protein 1
1233_s_at	AXL	AXL receptor tyrosine kinase
1234_at	EPHA3	EPH receptor A3
1235_at	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide
1236_s_at	NF1	neurofibromin 1 (neurofibromatosis, von Recklinghausen disease, Watson disease)
1237_at	IER3	immediate early response 3
1238_at	MAPK9	mitogen-activated protein kinase 9
1239_s_at	CASP2	caspase 2, apoptosis-related cysteine peptidase (neural precursor cell expressed, developmentally down-regulated 2)
123_at	PRKD1	protein kinase D1
1240_at	CASP2	caspase 2, apoptosis-related cysteine peptidase (neural precursor cell expressed, developmentally down-regulated 2)
1241_at	PTP4A2	protein tyrosine phosphatase type IVA, member 2
1242_at	ERF	Ets2 repressor factor
1243_at	DDB2	damage-specific DNA binding protein 2, 48kDa
1244_at	STAT2	signal transducer and activator of transcription 2, 113kDa
1245_i_at	PAK2	p21 (CDKN1A)-activated kinase 2
1246_at	PTPRS	protein tyrosine phosphatase, receptor type, S
1247_g_at	PTPRS	protein tyrosine phosphatase, receptor type, S
1248_at	POLR2H	polymerase (RNA) II (DNA directed) polypeptide H
1249_at	GAB1	GRB2-associated binding protein 1
1250_at	PRKDC	protein kinase, DNA-activated, catalytic polypeptide
1251_g_at	RAP1GAP	RAP1 GTPase activating protein
1252_at	REEP5	receptor accessory protein 5
1253_at	GSK3B	glycogen synthase kinase 3 beta
1254_at	GUCA1A	guanylate cyclase activator 1A (retina)
1255_g_at	GUCA1A	guanylate cyclase activator 1A (retina)
1256_at	PTPRD	protein tyrosine phosphatase, receptor type, D
1257_s_at	QSCN6	quiescin Q6
1258_s_at	ERCC4	excision repair cross-complementing rodent repair deficiency, complementation group 4
1259_at	ZNF19 /// ZNF23	zinc finger protein 19 /// zinc finger protein 23 (KOX 16)
1260_s_at	GSTA1 /// GSTA2 /// GSTA3	glutathione S-transferase A1 /// glutathione S-transferase A2 /// glutathione S-transferase A3
1261_i_at	GSTA2	glutathione S-transferase A2
1262_s_at	---	---
1263_at	IL3	interleukin 3 (colony-stimulating factor, multiple)
1264_at	PTPN2	protein tyrosine phosphatase, non-receptor type 2
1265_g_at	PTPN2	protein tyrosine phosphatase, non-receptor type 2
1266_s_at	LCK	lymphocyte-specific protein tyrosine kinase
1267_at	PRKCH	protein kinase C, eta
1268_at	UBE1	ubiquitin-activating enzyme E1 (A1S9T and BN75 temperature sensitivity complementing)
1269_at	PIK3R1	phosphoinositide-3-kinase, regulatory subunit 1 (p85 alpha)
126_s_at	SSX2 /// SSX4 /// SSX4B /// LOC653088	synovial sarcoma, X breakpoint 2 /// synovial sarcoma, X breakpoint 4 /// synovial sarcoma, X breakpoint 4B /// similar to synovial sarcoma, X breakpoint 2 isoform b
1270_at	RAP1GAP	RAP1 GTPase activating protein
1271_g_at	RELA	v-rel reticuloendotheliosis viral oncogene homolog A, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3, p65 (avian)
1272_at	EIF2S3	eukaryotic translation initiation factor 2, subunit 3 gamma, 52kDa
1273_r_at	CDC34	cell division cycle 34
1274_s_at	CDC34	cell division cycle 34
1275_at	PGGT1B	protein geranylgeranyltransferase type I, beta subunit
1276_g_at	RBPMS	RNA binding protein with multiple splicing
1277_at	ARHGEF16	Rho guanine exchange factor (GEF) 16
1278_at	---	---
1279_s_at	---	---
1280_i_at	---	---
1281_f_at	---	---
1282_s_at	---	---
1283_at	---	---
1284_at	---	---
1285_at	---	---
1286_s_at	---	---
1287_at	PARP1	poly (ADP-ribose) polymerase family, member 1
1288_s_at	EEF1A1	eukaryotic translation elongation factor 1 alpha 1
1289_at	GSTM5	glutathione S-transferase M5
128_at	CTSK	cathepsin K (pycnodysostosis)
1290_g_at	GSTM5	glutathione S-transferase M5
1291_s_at	FGFR4	fibroblast growth factor receptor 4
1292_at	DUSP2	dual specificity phosphatase 2
1293_s_at	GPLD1	glycosylphosphatidylinositol specific phospholipase D1
1294_at	UBE1L	ubiquitin-activating enzyme E1-like
1295_at	RELA	v-rel reticuloendotheliosis viral oncogene homolog A, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3, p65 (avian)
1296_at	CDH15	cadherin 15, M-cadherin (myotubule)
1297_at	RBPMS	RNA binding protein with multiple splicing
1298_at	ESR1	estrogen receptor 1
1299_at	TERF2	telomeric repeat binding factor 2
129_g_at	CTSK	cathepsin K (pycnodysostosis)
1300_at	XRCC2	X-ray repair complementing defective repair in Chinese hamster cells 2
1303_at	SH3BP2	SH3-domain binding protein 2
1304_at	---	---
1305_s_at	CYP4F3 /// CYP4F2	cytochrome P450, family 4, subfamily F, polypeptide 3 /// cytochrome P450, family 4, subfamily F, polypeptide 2
1306_at	EIF4G1	eukaryotic translation initiation factor 4 gamma, 1
1307_at	XPA	xeroderma pigmentosum, complementation group A
1308_g_at	XPA	xeroderma pigmentosum, complementation group A
1309_at	PSMB3	proteasome (prosome, macropain) subunit, beta type, 3
130_s_at	TITF1	thyroid transcription factor 1
1310_at	PSMB2	proteasome (prosome, macropain) subunit, beta type, 2
1311_at	PSMB4	proteasome (prosome, macropain) subunit, beta type, 4
1312_at	PSMD8	proteasome (prosome, macropain) 26S subunit, non-ATPase, 8
1313_at	PSMB7	proteasome (prosome, macropain) subunit, beta type, 7
1314_at	PSMD1	proteasome (prosome, macropain) 26S subunit, non-ATPase, 1
1315_at	OAZ1	ornithine decarboxylase antizyme 1
1316_at	THRA	thyroid hormone receptor, alpha (erythroblastic leukemia viral (v-erb-a) oncogene homolog, avian)
1317_at	MST1R	macrophage stimulating 1 receptor (c-met-related tyrosine kinase)
1318_at	RBBP4	retinoblastoma binding protein 4
1319_at	DDR2	discoidin domain receptor family, member 2
131_at	TAF11	TAF11 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 28kDa
1320_at	PTPN21	protein tyrosine phosphatase, non-receptor type 21
1321_s_at	EMP1	epithelial membrane protein 1
1322_at	E2F1	E2F transcription factor 1
1323_at	UBB	ubiquitin B
1324_at	RAD9A	RAD9 homolog A (S. pombe)
1325_at	SMAD1	SMAD, mothers against DPP homolog 1 (Drosophila)
1326_at	CASP10	caspase 10, apoptosis-related cysteine peptidase
1327_s_at	MAP3K5	mitogen-activated protein kinase kinase kinase 5
1328_at	TRAF5	TNF receptor-associated factor 5
1329_s_at	TERF1	telomeric repeat binding factor (NIMA-interacting) 1
1330_at	MAP3K3	mitogen-activated protein kinase kinase kinase 3
1331_s_at	TNFRSF25	tumor necrosis factor receptor superfamily, member 25
1332_f_at	GH1	growth hormone 1
1333_f_at	BCR	breakpoint cluster region
1334_s_at	CSF3	colony stimulating factor 3 (granulocyte)
1335_at	IGF1R	insulin-like growth factor 1 receptor
1336_s_at	PRKCB1	protein kinase C, beta 1
1337_s_at	RARA	retinoic acid receptor, alpha
1338_s_at	CYP2A6 /// CYP2A7 /// CYP2A13	cytochrome P450, family 2, subfamily A, polypeptide 6 /// cytochrome P450, family 2, subfamily A, polypeptide 7 /// cytochrome P450, family 2, subfamily A, polypeptide 13
1339_s_at	BCR	Breakpoint cluster region
133_at	CTSC	cathepsin C
1340_s_at	HGF	hepatocyte growth factor (hepapoietin A; scatter factor)
1341_at	SPI1	spleen focus forming virus (SFFV) proviral integration oncogene spi1
1342_g_at	TERF1	telomeric repeat binding factor (NIMA-interacting) 1
1343_s_at	SERPINB3	serpin peptidase inhibitor, clade B (ovalbumin), member 3
1344_at	PAX3	paired box gene 3 (Waardenburg syndrome 1)
1345_s_at	PAX3	paired box gene 3 (Waardenburg syndrome 1)
1346_at	MT3	metallothionein 3 (growth inhibitory factor (neurotrophic))
1347_at	CDC25B	cell division cycle 25B
1348_s_at	PCCA	propionyl Coenzyme A carboxylase, alpha polypeptide
1349_at	DCC	Deleted in colorectal carcinoma
134_at	ABI2	abl interactor 2
1350_at	CYP4F2	cytochrome P450, family 4, subfamily F, polypeptide 2
1351_at	EPHB4	EPH receptor B4
1352_at	IL8RA	interleukin 8 receptor, alpha
1353_g_at	IL8RA	interleukin 8 receptor, alpha
1354_at	NTRK2	neurotrophic tyrosine kinase, receptor, type 2
1355_g_at	NTRK2	neurotrophic tyrosine kinase, receptor, type 2
1356_at	DAP3	death associated protein 3
1357_at	USP4	ubiquitin specific peptidase 4 (proto-oncogene)
1358_s_at	IFI6	interferon, alpha-inducible protein 6
1359_at	IL17A	interleukin 17A
135_g_at	ABI2	abl interactor 2
1360_at	XRCC4	X-ray repair complementing defective repair in Chinese hamster cells 4
1361_at	TERF1	telomeric repeat binding factor (NIMA-interacting) 1
1362_s_at	RXRB	retinoid X receptor, beta
1363_at	FGFR2	fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysostosis 1, Crouzon syndrome, Pfeiffer syndrome, Jackson-Weiss syndrome)
1364_at	PTPRZ1	protein tyrosine phosphatase, receptor-type, Z polypeptide 1
1365_at	IL2RB	interleukin 2 receptor, beta
1366_i_at	UBC	ubiquitin C
1367_f_at	UBC	ubiquitin C
1368_at	IL1R1	interleukin 1 receptor, type I
1369_s_at	IL8	interleukin 8
136_at	GPR31	G protein-coupled receptor 31
1370_at	IL7R	interleukin 7 receptor
1371_s_at	CYP2B6 /// CYP2B7P1	cytochrome P450, family 2, subfamily B, polypeptide 6 /// cytochrome P450, family 2, subfamily B, polypeptide 7 pseudogene 1
1372_at	TNFAIP6	tumor necrosis factor, alpha-induced protein 6
1373_at	TCF3	transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)
1374_g_at	TCF3	transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)
1375_s_at	TIMP2	TIMP metallopeptidase inhibitor 2
1376_at	LIG1	ligase I, DNA, ATP-dependent
1377_at	NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (p105)
1378_g_at	NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (p105)
1379_at	EPHA2	EPH receptor A2
137_at	KLF1	Kruppel-like factor 1 (erythroid)
1380_at	FGF7	fibroblast growth factor 7 (keratinocyte growth factor)
1381_at	RARB	retinoic acid receptor, beta
1382_at	RPA1	replication protein A1, 70kDa
1383_at	PPP2R2A	protein phosphatase 2 (formerly 2A), regulatory subunit B (PR 52), alpha isoform
1384_at	PPP2R2B	protein phosphatase 2 (formerly 2A), regulatory subunit B (PR 52), beta isoform
1385_at	TGFBI	transforming growth factor, beta-induced, 68kDa
1386_at	PTPN9	protein tyrosine phosphatase, non-receptor type 9
1387_at	---	---
1388_g_at	VDR	vitamin D (1,25- dihydroxyvitamin D3) receptor
1389_at	MME	membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase, CALLA, CD10)
138_at	MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1
1390_s_at	GHRH	growth hormone releasing hormone
1391_s_at	CYP4A11	cytochrome P450, family 4, subfamily A, polypeptide 11
1392_at	GRK6	G protein-coupled receptor kinase 6
1393_at	OCM	oncomodulin
1394_at	RHOA	ras homolog gene family, member A
1395_at	RHOC	ras homolog gene family, member C
1396_at	IGFBP5	insulin-like growth factor binding protein 5
1397_at	MAP3K11	mitogen-activated protein kinase kinase kinase 11
1398_g_at	MAP3K11	mitogen-activated protein kinase kinase kinase 11
1399_at	TCEB1	transcription elongation factor B (SIII), polypeptide 1 (15kDa, elongin C)
139_at	DLGAP1	discs, large (Drosophila) homolog-associated protein 1
1400_at	CSF2	colony stimulating factor 2 (granulocyte-macrophage)
1401_g_at	CSF2	colony stimulating factor 2 (granulocyte-macrophage)
1402_at	LYN	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog
1403_s_at	CCL5	chemokine (C-C motif) ligand 5
1404_r_at	CCL5	chemokine (C-C motif) ligand 5
1405_i_at	CCL5	chemokine (C-C motif) ligand 5
1406_at	NR2C1	nuclear receptor subfamily 2, group C, member 1
1407_g_at	NR2C1	nuclear receptor subfamily 2, group C, member 1
1408_at	FGF4	fibroblast growth factor 4 (heparin secretory transforming protein 1, Kaposi sarcoma oncogene)
